ticker,assetName,market,assetType,dividendYield,yieldStatus,yieldSource,rawSourceValue,sourceFile
130730,KIWOOM 단기자금,KR,ETF,2.97,manual,k_etf_rank_dividend_yield,2.97%,k-etf_rank_dividend_yield.csv
440650,ACE 미국달러단기채권액티브,KR,ETF,2.93,manual,k_etf_rank_dividend_yield,2.93%,k-etf_rank_dividend_yield.csv
452360,SOL 미국배당다우존스(H),KR,ETF,2.89,manual,k_etf_rank_dividend_yield,2.89%,k-etf_rank_dividend_yield.csv
091220,TIGER 은행,KR,ETF,2.88,manual,k_etf_rank_dividend_yield,2.88%,k-etf_rank_dividend_yield.csv
379790,RISE 유로스탁스50(H),KR,ETF,2.88,manual,k_etf_rank_dividend_yield,2.88%,k-etf_rank_dividend_yield.csv
114100,RISE 국고채3년,KR,ETF,2.87,manual,k_etf_rank_dividend_yield,2.87%,k-etf_rank_dividend_yield.csv
455030,KODEX 미국달러SOFR금리액티브(합성),KR,ETF,2.86,manual,k_etf_rank_dividend_yield,2.86%,k-etf_rank_dividend_yield.csv
122260,KIWOOM 통안채1년,KR,ETF,2.85,manual,k_etf_rank_dividend_yield,2.85%,k-etf_rank_dividend_yield.csv
0105E0,SOL 코리아고배당,KR,ETF,2.84,manual,k_etf_rank_dividend_yield,2.84%,k-etf_rank_dividend_yield.csv
174350,TIGER 로우볼,KR,ETF,2.83,manual,k_etf_rank_dividend_yield,2.83%,k-etf_rank_dividend_yield.csv
099140,KODEX 차이나H,KR,ETF,2.83,manual,k_etf_rank_dividend_yield,2.83%,k-etf_rank_dividend_yield.csv
460660,RISE 미국S&P배당킹,KR,ETF,2.79,manual,k_etf_rank_dividend_yield,2.79%,k-etf_rank_dividend_yield.csv
136340,RISE 중기우량회사채,KR,ETF,2.78,manual,k_etf_rank_dividend_yield,2.78%,k-etf_rank_dividend_yield.csv
465780,마이티 26-09 특수채(AAA)액티브,KR,ETF,2.78,manual,k_etf_rank_dividend_yield,2.78%,k-etf_rank_dividend_yield.csv
476450,KIWOOM 머니마켓액티브,KR,ETF,2.78,manual,k_etf_rank_dividend_yield,2.78%,k-etf_rank_dividend_yield.csv
471460,KIWOOM 국고채30년액티브,KR,ETF,2.76,manual,k_etf_rank_dividend_yield,2.76%,k-etf_rank_dividend_yield.csv
402970,ACE 미국배당다우존스,KR,ETF,2.74,manual,k_etf_rank_dividend_yield,2.74%,k-etf_rank_dividend_yield.csv
499660,TIGER CD금리플러스액티브(합성),KR,ETF,2.73,manual,k_etf_rank_dividend_yield,2.73%,k-etf_rank_dividend_yield.csv
490490,SOL 미국배당미국채혼합50,KR,ETF,2.73,manual,k_etf_rank_dividend_yield,2.73%,k-etf_rank_dividend_yield.csv
105010,TIGER 라틴35,KR,ETF,2.73,manual,k_etf_rank_dividend_yield,2.73%,k-etf_rank_dividend_yield.csv
481050,KODEX CD1년금리플러스액티브(합성),KR,ETF,2.72,manual,k_etf_rank_dividend_yield,2.72%,k-etf_rank_dividend_yield.csv
446720,SOL 미국배당다우존스,KR,ETF,2.72,manual,k_etf_rank_dividend_yield,2.72%,k-etf_rank_dividend_yield.csv
245360,TIGER 차이나HSCEI,KR,ETF,2.71,manual,k_etf_rank_dividend_yield,2.71%,k-etf_rank_dividend_yield.csv
114460,ACE 국고채3년,KR,ETF,2.7,manual,k_etf_rank_dividend_yield,2.70%,k-etf_rank_dividend_yield.csv
419890,KIWOOM 단기채권ESG액티브,KR,ETF,2.68,manual,k_etf_rank_dividend_yield,2.68%,k-etf_rank_dividend_yield.csv
458730,TIGER 미국배당다우존스,KR,ETF,2.67,manual,k_etf_rank_dividend_yield,2.67%,k-etf_rank_dividend_yield.csv
114820,TIGER 국채3년,KR,ETF,2.67,manual,k_etf_rank_dividend_yield,2.67%,k-etf_rank_dividend_yield.csv
