market,ticker,expectedCagr,priceCagr10y,mdd,beta,dataYears,benchmarkTicker,metricsStatus,metricsSource,reviewReason
KR,003380,2.71,2.71,-80.87,0.99,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,034230,-1.86,-1.86,-66.9,0.81,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,065350,29.37,29.37,-74.02,1.05,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,281740,31.06,31.06,-68.06,1.18,8.45,^KS11,ready,yfinance_kr_close_price_20260528,
KR,195940,-8.01,-8.01,-59.41,0.63,4.8,^KS11,ready,yfinance_kr_close_price_20260528,
KR,090460,30.65,30.65,-66.03,1.12,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,009155,34.87,34.87,-68.16,1.1,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,181710,2.26,2.26,-68.53,0.68,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,051915,-1.79,-1.79,-81.66,1.13,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,000210,-6.61,-6.61,-82.99,0.93,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,204270,11.9,11.9,-70.17,1.19,6.23,^KS11,ready,yfinance_kr_close_price_20260528,
KR,415640,17.57,17.57,-12.04,0.09,1.49,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,082640,-3.34,-3.34,-88.78,0.59,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,124500,27.98,27.98,-68.49,0.94,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,126340,47.6,47.6,-71.33,0.79,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,003090,5.04,5.04,-85.14,0.94,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,000080,-4.23,-4.23,-65.1,0.43,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,000815,7.75,7.75,-58.31,0.45,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,100090,13.59,13.59,-80.09,0.85,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,056190,0.25,0.25,-62.62,0.84,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,356860,32.99,32.99,-68.28,1.31,5.45,^KS11,ready,yfinance_kr_close_price_20260528,
KR,161580,11.15,11.15,-67.25,1.24,8.98,^KS11,ready,yfinance_kr_close_price_20260528,
KR,089860,-11.23,-11.23,-54.14,0.37,4.77,^KS11,ready,yfinance_kr_close_price_20260528,
KR,006340,22.08,22.08,-81.76,1.25,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,213420,13.24,13.24,-69.24,1.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,003240,0.72,0.72,-71.64,0.78,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,036830,1.5,1.5,-80.57,1.29,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,388720,34.16,34.16,-48.83,1.03,4.19,^KS11,ready,yfinance_kr_close_price_20260528,
KR,137400,22.59,22.59,-64.45,1.2,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,300720,2.45,2.45,-68.98,0.58,7.8,^KS11,ready,yfinance_kr_close_price_20260528,
KR,280360,-5.47,-5.47,-53.11,0.4,8.57,^KS11,ready,yfinance_kr_close_price_20260528,
KR,160190,53.44,53.44,-60.83,1.02,1.91,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,185750,0.17,0.17,-69.16,0.69,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
